track_id_src,text_length,all_seg_cnt,total_duration,speech_duration,speech_ratio,nsp06_seg_cnt,nsp06_word_cnt,nsp06_unique_word_cnt
434120767,0,0,0,0,0,0,0,0
1117587,21,2,59.2,29.200000000000003,0.49324324324324326,2,4,4
544700515,1386,42,84.0,0,0.0,0,0,0
80046060,355,2,60.0,0,0.0,0,0,0
545446846,332,10,60.0,25.0,0.4166666666666667,4,8,2
545446853,1428,42,84.0,0,0.0,0,0,0
525975,888,2,60.0,0,0.0,0,0,0
545446860,0,0,0,0,0,0,0,0
80046062,0,0,0,0,0,0,0,0
5005963,355,2,60.0,0,0.0,0,0,0
552254275,446,1,60.0,0,0.0,0,0,0
525993,888,2,60.0,0,0.0,0,0,0
545446876,362,27,60.0,26.080000000000005,0.43466666666666676,12,12,7
2804843,490,1,60.0,0,0.0,0,0,0
453211271,888,2,60.0,0,0.0,0,0,0
543559647,337,1,60.0,0,0.0,0,0,0
545446871,888,2,60.0,0,0.0,0,0,0
545446913,0,0,0,0,0,0,0,0
545446863,0,0,0,0,0,0,0,0
545446910,0,0,0,0,0,0,0,0
5498112,438,2,60.0,30.0,0.5,1,33,3
545446879,480,10,59.0,0,0.0,0,0,0
1115501,446,1,60.0,0,0.0,0,0,0
545446892,0,0,0,0,0,0,0,0
545446883,0,0,0,0,0,0,0,0
545446905,75,15,60.0,2.0,0.03333333333333333,1,1,1
80046077,0,0,0,0,0,0,0,0
545446908,1104,23,81.0,0,0.0,0,0,0
543559672,28,7,60.0,32.0,0.5333333333333333,4,4,1
525984,0,0,0,0,0,0,0,0
545446901,0,0,0,0,0,0,0,0
545446898,1554,42,84.0,0,0.0,0,0,0
485833019,4,1,5.2,5.2,1.0,1,1,1
434121286,178,1,60.0,0,0.0,0,0,0
435401110,888,2,60.0,0,0.0,0,0,0
30142215,147,24,60.48,20.34,0.33630952380952384,9,10,10
434121284,888,2,60.0,0,0.0,0,0,0
2622494,534,2,60.0,0,0.0,0,0,0
435580146,255,2,60.0,0,0.0,0,0,0
3383675,355,2,60.0,0,0.0,0,0,0
61102938,445,2,60.0,0,0.0,0,0,0
5580485,534,2,60.0,0,0.0,0,0,0
80097256,534,2,60.0,0,0.0,0,0,0
496040732,40,8,62.0,0,0.0,0,0,0
1210840,388,28,60.0,23.92,0.39866666666666667,12,24,3
552984601,551,18,60.0,4.0,0.06666666666666667,2,14,7
5580482,444,2,60.0,0,0.0,0,0,0
422942254,445,2,60.0,0,0.0,0,0,0
5498109,665,2,60.0,30.0,0.5,1,110,2
1668084,888,2,60.0,0,0.0,0,0,0
527947,355,2,60.0,0,0.0,0,0,0
24362142,224,1,60.0,0,0.0,0,0,0
1668088,887,2,60.0,0,0.0,0,0,0
30392166,535,2,54.74,24.740000000000002,0.45195469492144685,1,47,16
434121372,355,2,60.0,0,0.0,0,0,0
1894618,666,2,60.0,30.0,0.5,1,111,3
80313742,355,2,60.0,0,0.0,0,0,0
424562,534,2,60.0,0,0.0,0,0,0
